시설명,시설구분,소재지도로명주소,소재지지번주소,위도,경도,전화번호,운영주체구분,관리기관,기준일
다온요양원,노인의료복지시설,경기도 수원시 장안구 장안로30번길 4 (영화동),경기도 수원시 장안구 영화동 425-2,37.28758218,127.0059801,031-258-2004,개인,수원시 어르신돌봄과,2025-04-11
노블레스아모르파티요양원,노인의료복지시설,경기도 수원시 장안구 장안로496번길 65 (이목동),경기도 수원시 장안구 이목동 90-1,37.31967,126.97133,031-269-5700,개인,수원시 어르신돌봄과,2025-04-11
수원시립노인전문요양원,노인의료복지시설,경기도 수원시 장안구 수일로 33 (파장동),경기도 수원시 장안구 파장동 199-5,37.31265574,126.9952177,031-257-0130,지방자치단체,수원시 어르신돌봄과,2025-04-11
효행노인전문요양원,노인의료복지시설,경기도 수원시 장안구 수일로191번길 84 (조원동),경기도 수원시 장안구 조원동 산 1-9,37.31134229,127.0094094,031-244-9949,법인,수원시 어르신돌봄과,2025-04-11
굿모닝요양원,노인의료복지시설,"경기도 수원시 장안구 정자천로 187, 2층 207호 (정자동, 롯데프라자)",경기도 수원시 장안구 정자동 874-2,37.29656469,126.9954555,031-211-7011,개인,수원시 어르신돌봄과,2025-04-11
수원어르신간호센터,노인의료복지시설,"경기도 수원시 장안구 송정로 96, 5층 (정자동, 벽산그랜드코아)",경기도 수원시 장안구 정자동 9-3,37.29527027,127.0077742,031-258-1001,개인,수원시 어르신돌봄과,2025-04-11
삼성드림요양원,노인의료복지시설,경기도 수원시 장안구 수일로117번길 37 (송죽동),경기도 수원시 장안구 송죽동 산 23-5,37.3108118,127.0039427,031-246-1366,개인,수원시 어르신돌봄과,2025-04-11
북수원요양원,노인의료복지시설,경기도 수원시 장안구 경수대로1220번길 6-38 (파장동),경기도 수원시 장안구 파장동 99-1,37.32077379,126.98967,031-271-0107,개인,수원시 어르신돌봄과,2025-04-11
스텔라실버요양원북수원점,노인의료복지시설,경기도 수원시 장안구 경수대로 1018 (송죽동),경기도 수원시 장안구 송죽동 481-8,37.30689047,127.0007064,031-248-8888,개인,수원시 어르신돌봄과,2025-04-11
선재재활전문요양원,노인의료복지시설,"경기도 수원시 장안구 송정로90번길 3, 3,5,8층 (정자동)",경기도 수원시 장안구 정자동 9-5,37.29540816,127.007287,031-244-5009,개인,수원시 어르신돌봄과,2025-04-11
수원우리요양원,노인의료복지시설,경기도 수원시 장안구 파장로 29 (파장동),경기도 수원시 장안구 파장동 501-16,37.30463082,126.9971979,031-255-2642,개인,수원시 어르신돌봄과,2025-04-11
우리함께요양원포유수원점,노인의료복지시설,"경기도 수원시 장안구 금당로39번길 6, 1호, 301호 (조원동)",경기도 수원시 장안구 조원동 859-3,37.30319441,127.0161027,031-253-1155,개인,수원시 어르신돌봄과,2025-04-11
