시설종류,수용유형,시설명,도로명주소,지번주소,연락처,위도,경도,데이터기준일자
이용,이용시설,강원동부노인보호전문기관,"강원특별자치도 강릉시 율곡로 2954, 3층",,033-655-1389,37.76628641,128.8918691,2025-03-05
이용,이용시설,강릉시니어클럽,강원특별자치도 강릉시 공항길 19(병산동),,033-652-9070,37.76254808,128.9384344,2025-03-05
이용,이용시설,강릉노인종합복지관,강원특별자치도 강릉시 경강로 1956(홍제동),,033-640-2411,37.74771894,128.8839883,2025-03-05
이용,이용시설,북부노인종합복지관,강원특별자치도 강릉시 연곡면 연주로 230,,033-640-4285,37.87430886,128.8313684,2025-03-05
노인교실,노인여가복지시설,강릉 노인대학,강원특별자치도 강릉시 경강로 1956 (홍제동),,033-645-7985,37.74771894,128.8839883,2025-03-05
노인교실,노인여가복지시설,북부 노인대학,강원특별자치도 강릉시 사천면 미노길 28,,033-644-0249,37.82029969,128.851115,2025-03-05
노인교실,노인여가복지시설,주문진 노인대학,강원특별자치도 강릉시 주문진읍 신리대동길 31-3,,033-662-9008,37.88187084,128.8216856,2025-03-05
노인교실,노인여가복지시설,소망 노인대학,강원특별자치도 강릉시 종합운동장길 96 (교동),,033-645-1901,37.77047553,128.896439,2025-03-05
노인교실,노인여가복지시설,기쁜실버대학,강원특별자치도 강릉시 종합운동장길 19 (교동),,033-641-3382,37.7750968,128.8912079,2025-03-05
양로시설,노인주거복지시설,평안의 집,강원특별자치도 강릉시 모산로390번길 15 (유산동),,033-643-6435,37.74008597,128.9065541,2025-03-05
노인의료복지시설,노인요양시설,강릉효도마을,강원특별자치도 강릉시 강동면 심곡봉화길 118-1,,033-644-5766,37.6728601,129.0525968,2025-03-05
노인의료복지시설,노인요양시설,한빛마을,강원특별자치도 강릉시 구정면 보램길 42-6,,033-647-7058,37.68961163,128.9086192,2025-03-05
노인의료복지시설,노인요양시설,행복마을,강릉시 강변로 278 (노암동),,033-645-3004,37.74947146,128.8989138,2025-03-05
노인의료복지시설,노인요양시설,경선효요양원,강원특별자치도 강릉시 옥가로7번길 3 (옥천동),,033-646-2779,37.7574184,128.89849,2025-03-05
노인의료복지시설,노인요양시설,오대산성모요양원,강원특별자치도 강릉시 연곡면 진고개로 907,,033-661-5030,37.83510839,128.6473432,2025-03-05
노인의료복지시설,노인요양시설,행복한둥지,강원특별자치도 강릉시 경강로1855번안길 38 (홍제동),,033-642-7712,37.74980563,128.8731303,2025-03-05
노인의료복지시설,노인요양시설,강릉노인요양시설,강원특별자치도 강릉시 성산면 보현길 22-73,,033-648-1235,37.74039418,128.7986365,2025-03-05
노인의료복지시설,노인요양시설,가정강릉요양원,강원특별자치도 강릉시 범일로579번길 49-3 (내곡동),,033-646-0401,37.73620506,128.8772819,2025-03-05
노인의료복지시설,노인요양시설,참살이요양원,강원특별자치도 강릉시 강동면 임곡로 687,,033-647-0629,37.69221605,128.9755754,2025-03-05
노인의료복지시설,노인요양시설,우리사랑노인요양시설,강원특별자치도 강릉시 강릉대로218번길 20 (임당동),,033-648-6419,37.75661805,128.8941439,2025-03-05
노인의료복지시설,노인요양시설,마루요양원,강원특별자치도 강릉시 모산로209번길 35-23 (장현동),,033-647-3007,37.72739299,128.9013186,2025-03-05
