시설명,소재지도로명주소,소재지지번주소,위도,경도,제공서비스,건축물용도,전화번호,관리기관명,관리부서전화번호,데이터기준일자
(A)비지팅엔젤스 파주방문요양지점,경기도 파주시 동패로63번길 48,경기도 파주시 동패동 1906,37.7109949126,126.737402005,방문요양+방문목욕,단독주택,031-946-2988,경기도 파주시청,031-940-4415,2025-12-02
(A+) 행복한 방문요양센터,경기도 파주시 미래로 369-72,경기도 파주시 동패동 1758-4,37.7110914481,126.7443906293,방문요양,근린생활시설,031-949-8388,경기도 파주시청,031-940-4415,2025-12-02
(주)서포터예성(예성노블주간보호센터1),경기도 파주시 문산읍 문산역로 107,경기도 파주시 문산읍 문산리 17-25,37.8557771513,126.7867051775,주야간보호,노유자시설,031-953-0188,경기도 파주시청,031-940-4415,2025-12-02
(주)수호천사,경기도 파주시 황골로 15,경기도 파주시 금촌동 235-1,37.7554605214,126.7705258175,방문요양,노유자시설,031-957-8440,경기도 파주시청,031-940-4415,2025-12-02
(주)케어맥스코리아,경기도 파주시 경의로 1042,경기도 파주시 야당동 1054,37.7104185309,126.7598266836,복지용구제공사업소,근린생활시설,031-901-9163,경기도 파주시청,031-940-4415,2025-12-02
(주)행복더하기,경기도 파주시 금물다리길 271,경기도 파주시 맥금동 113-5,37.7716335093,126.7335568911,방문요양,공동주택,031-941-8229,경기도 파주시청,031-940-4415,2025-12-02
(파주)심청이요양원,경기도 파주시 파주로 266,경기도 파주시 동패동 1695-1,37.7261620858,126.7182662,노인요양시설,노유자시설,031-944-5220,경기도 파주시청,031-940-4477,2025-12-02
1004엔젤스방문요양센터,경기도 파주시 금빛로 12,경기도 파주시 금촌동 990-3,37.7511324699,126.7672211931,방문요양방문목욕,공동주택,031-957-1008,경기도 파주시청,031-940-4415,2025-12-02
100세동안파주점,경기도 파주시 가나무로 131,경기도 파주시 금릉동 210-5,37.7543659337,126.7798760576,복지용구제공사업소,근린생활시설,031-945-4951,경기도 파주시청,031-940-4415,2025-12-02
365해바라기 주야간보호센터,경기도 파주시 가람로116번길 31,경기도 파주시 와동동 1523-6,37.7359310832,126.7637782499,주야간보호,노유자시설,031-948-2900,경기도 파주시청,031-940-4415,2025-12-02
e-상쾌한요양센터,경기도 파주시 청석로 256,경기도 파주시 동패동 1694-2,37.7247075214,126.7177596865,방문요양+주야간보호,노유자시설,031-941-7897,경기도 파주시청,031-940-4415,2025-12-02
e-상쾌한요양원,"경기도 파주시 청석로 256, 703",경기도 파주시 동패동 1694-2,37.7247075214,126.7177596865,노인요양시설,노유자시설,031-941-7897,경기도 파주시청,031-940-4477,2025-12-02
For Noble 헤이리너싱홈,경기도 파주시 탄현면 갈현로29번길 124-8,경기도 파주시 탄현면 갈현리 455-12,37.7675934228,126.7184858986,노인요양시설,노유자시설,031-949-1271,경기도 파주시청,031-940-4477,2025-12-02
OK(오케이)재가복지센터,경기도 파주시 책향기로 757,경기도 파주시 와동동 1311,37.7305130821,126.7548076893,방문요양,근린생활시설,031-948-5269,경기도 파주시청,031-940-4415,2025-12-02
YJ요양원,경기도 파주시 송학1길 42,경기도 파주시 야당동 192-3,37.7117879216,126.7633933324,노인요양시설,노유자시설,031-944-7272,경기도 파주시청,031-940-4477,2025-12-02
가가호호 노인복지센터,경기도 파주시 문산읍 개포래로 52,경기도 파주시 문산읍 문산리 36-12,37.8541640452,126.7825917095,노인요양공동생활가정+방문요양+방문목욕+주야간보호,노유자시설+근린생활시설,031-952-0188,경기도 파주시청,031-940-4477+031-940-4415,2025-12-02
가경 방문간호센터,경기도 파주시 조리읍 봉천로 54-1,경기도 파주시 조리읍 봉일천리 203-45,37.7440489727,126.8058186627,방문간호,노유자시설,031-944-5909,경기도 파주시청,031-940-4415,2025-12-02
가람마을 7단지 경로당,경기도 파주시 가람로116번길 130,경기도 파주시 와동동 1338,37.7333209622,126.7648066246,노인여가활동,경로당,031-944-7964,경기도 파주시청,031-940-4404,2025-12-02
가람마을 벽산한라아파트 경로당,경기도 파주시 가람로 22,경기도 파주시 와동동 1308,37.7329235561,126.7533501704,노인여가활동,경로당,031-939-9780,경기도 파주시청,031-940-4404,2025-12-02
가람마을11단지 동문굿모닝힐아파트 경로당,경기도 파주시 가온로 256,경기도 파주시 와동동 1368,37.7255199183,126.7541621655,노인여가활동,경로당,031-949-2755,경기도 파주시청,031-940-4404,2025-12-02
가람마을14 단지 경로당,경기도 파주시 소리천로 203,경기도 파주시 와동동 1475,37.7307771459,126.7684825075,노인여가활동,경로당,,경기도 파주시청,031-940-4404,2025-12-02
가람마을2단지(휴먼시아) 경로당,경기도 파주시 미래로 602,경기도 파주시 와동동 1311,37.7316319366,126.7530101622,노인여가활동,경로당,031-947-3995,경기도 파주시청,031-940-4404,2025-12-02
가람마을3단지 경로당,경기도 파주시 금바위로 100,경기도 파주시 와동동 240,37.7329502518,126.7575761634,노인여가활동,경로당,031-949-3838,경기도 파주시청,031-940-4404,2025-12-02
가람마을4단지 한양수자인아파트 경로당,경기도 파주시 가람로 70,경기도 파주시 와동동 1321,37.7346546604,126.7583888874,노인여가활동,경로당,,경기도 파주시청,031-940-4404,2025-12-02
가람마을6단지 경로당,경기도 파주시 가람로 90,경기도 파주시 와동동 1331,37.7353546639,126.7603955214,노인여가활동,경로당,,경기도 파주시청,031-940-4404,2025-12-02
가람마을8단지 경로당,경기도 파주시 금바위로 47,경기도 파주시 와동동 205,37.7283750112,126.7576487039,노인여가활동,경로당,031-948-1490,경기도 파주시청,031-940-4404,2025-12-02
가람마을9단지 남양휴튼 경로당,경기도 파주시 미래로 562,경기도 파주시 와동동 1344,37.7289781095,126.7526980642,노인여가활동,경로당,031-945-5749,경기도 파주시청,031-940-4404,2025-12-02
